,t,x,y,z,speed_x,speed_y,speed_z
0,0.0,-637.5200802759938,1000.0,34.033323766935254,100.0,0.0,0.0
1,0.01,-636.5214837292897,999.9995095,34.03329490677875,99.7193093408133,-0.0981,-0.005772031300603354
2,0.02,-635.5256940884377,999.9980394413703,34.033208326324456,99.43861882959523,-0.1959117259395978,-0.011544059558427803
3,0.03,-634.5327113504695,999.995592711095,34.0330640256334,99.15792876402735,-0.2934343291243637,-0.017316078652047043
4,0.04,-633.54227636545,999.9921714038716,34.032867333780466,98.92906823989634,-0.3908271155695239,-0.022022291935325622
5,0.05,-632.554129981398,999.9877773537886,34.03262357988258,98.70020857048983,-0.48798290102032316,-0.026728487642327763
6,0.060000000000000005,-631.5682721885252,999.9824129337107,34.03233276414103,98.47135000408645,-0.5849011145581952,-0.03143466066753317
7,0.07,-630.584702974551,999.9760805222215,34.03199488680835,98.24249279075794,-0.6815811832731894,-0.036140805868547496
8,0.08,-629.6034223246852,999.9687825036439,34.031609948188674,98.01363718238272,-0.7780225322556952,-0.04084691806582484
9,0.09,-628.62443022161,999.9605212680597,34.03117794863814,97.78478343265951,-0.8742245845881325,-0.04555299204238793
10,0.09999999999999999,-627.6477266454611,999.95129921133,34.030698888565205,97.55593179712096,-0.9701867613366103,-0.05025902254354592
11,0.10999999999999999,-626.6733115738098,999.9411187351157,34.03017276843111,97.3270825331476,-1.065908481542552,-0.05496500427660982
12,0.11999999999999998,-625.7011849816441,999.9299822468969,34.029599588750166,97.09823589998172,-1.1613891622142873,-0.05967093191060554
13,0.12999999999999998,-624.7313468413505,999.9178921599943,34.02897935009024,96.86939215874146,-1.2566282183186128,-0.06437680007598444
14,0.13999999999999999,-623.7637971226947,999.9048508935888,34.02831205307304,96.64055157243504,-1.3516250627723174,-0.06908260336433153
15,0.15,-622.7985357928026,999.8908608727428,34.02759769837457,96.41171440597502,-1.4463791064336775,-0.07378833632807112
16,0.16,-621.8355628161418,999.8759245284201,34.02683628672553,96.18288092619275,-1.5408897580939167,-0.07849399348017
17,0.17,-620.8748781545015,999.8600442975073,34.026027818911665,95.95405140185295,-1.6351564244686345,-0.08319956929383812
18,0.18000000000000002,-619.9164817669739,999.843222622834,34.02517229577418,95.72522610366838,-1.7291785101892014,-0.0879050582022267
19,0.19000000000000003,-618.960373609934,999.8254619531941,34.02426971821018,95.4964053043146,-1.8229554177941203,-0.09261045459812377
20,0.20000000000000004,-618.0065536370201,999.8067647433666,34.02332008717302,95.26758927844499,-1.916486547720356,-0.09731575283364714
21,0.21000000000000005,-617.0550217991145,999.7871334541364,34.02232340367275,95.03877830270572,-2.0097712982946323,-0.10202094721993478
22,0.22000000000000006,-616.1057780443222,999.7665705523164,34.02127966877652,94.809972655751,-2.1028090657246943,-0.10672603202683245
23,0.23000000000000007,-615.1588223179521,999.7450785107673,34.020188883608974,94.58117261825835,-2.1955992440905394,-0.11143100148257883
24,0.24000000000000007,-614.2141545624961,999.7226598084201,34.01905104935269,94.3523784729441,-2.2881412253356155,-0.11613584977348779
25,0.25000000000000006,-613.2717747176084,999.6993169302971,34.017866167248606,94.1235905045789,-2.380434399257984,-0.12084057104362807
26,0.26000000000000006,-612.3316827200855,999.6750523675332,34.01663423859642,93.89480900000349,-2.4724781535014544,-0.12554515939450014
27,0.2700000000000001,-611.3938785038448,999.6498686173979,34.015355264755016,93.66603424814454,-2.5642718735466805,-0.13024960888471038
28,0.2800000000000001,-610.4583619999039,999.6237681833167,34.01402924714295,93.43726654003059,-2.65581494270223,-0.1349539135296423
29,0.2900000000000001,-609.5251331363597,999.5967535748927,34.0126561872388,93.20850616880823,-2.7471067420956152,-0.13965806730112518
30,0.3000000000000001,-608.5941918383669,999.5688273079288,34.011236086581654,92.9797534297583,-2.8381466506642967,-0.1443620641270996
31,0.3100000000000001,-607.6655380281165,999.5399919044497,34.00976894677156,92.75100862031236,-2.928934045146649,-0.14906589789128033
32,0.3200000000000001,-606.7391716248146,999.5102498927237,34.00825476946994,92.52227204006915,-3.019468300072899,-0.15376956243281611
33,0.3300000000000001,-605.8150925446603,999.4796038072845,34.006693556400045,92.29354399081133,-3.109748787756026,-0.1584730515459467
34,0.34000000000000014,-604.8933007008236,999.4480561889544,34.00508530934742,92.06482477652229,-3.1997748782826365,-0.16317635897965677
35,0.35000000000000014,-603.973796003424,999.4156095848655,34.00343003016033,91.8361147034031,-3.2895459395037987,-0.16787947843732695
36,0.36000000000000015,-603.0565783595075,999.3822665484828,34.00172772075027,91.60741407988967,-3.3790613370258504,-0.17258240357638185
37,0.37000000000000016,-602.1416476730246,999.3480296396267,33.99997838309234,91.37872321666998,-3.468320434201172,-0.17728512800793492
38,0.38000000000000017,-601.2290038448078,999.3129014244951,33.99818201922582,91.15004242670152,-3.557322592118929,-0.18198764529643036
39,0.3900000000000002,-600.3186467725482,999.2768844756865,33.996338631254545,90.92137202522883,-3.6460671695957787,-0.18668994895928187
40,0.4000000000000002,-599.410576350773,999.2399813722227,33.99444822134741,90.69271232980127,-3.7345535231665496,-0.19139203246650832
41,0.4100000000000002,-598.5047924708226,999.2021946995715,33.99251079173888,90.46406366029082,-3.822781007074886,-0.19609388924036616
42,0.4200000000000002,-597.6012950208266,999.1635270496698,33.9905263447294,90.23542633891017,-3.910748973263862,-0.20079551265497872
43,0.4300000000000002,-596.7000838856809,999.1239810209466,33.98849488268595,90.00680069023088,-3.9984567713665604,-0.20549689603596225
44,0.4400000000000002,-595.8011589470237,999.0835592183463,33.986416408042466,89.7781870412017,-4.0859037486966265,-0.21019803266004866
